date,commodity,state,variety,trans_mode,price,price_min,price_max,unit
2026-03-02,Distillers Corn Oil,Illinois,,Truck,66.0,64.0,68.0,Cents Per Lb
2026-03-02,Distillers Corn Oil,Indiana,,Truck,67.75,66.5,69.0,Cents Per Lb
2026-03-02,Distillers Corn Oil,Iowa,,Truck,64.0,64.0,64.0,Cents Per Lb
2026-03-02,Distillers Corn Oil,Kansas,,Truck,60.0,60.0,60.0,Cents Per Lb
2026-03-02,Distillers Corn Oil,Michigan,,Truck,62.9,57.0,69.0,Cents Per Lb
2026-03-02,Distillers Corn Oil,Minnesota,,Truck,62.4,55.0,69.0,Cents Per Lb
2026-03-02,Distillers Corn Oil,Missouri,,Truck,67.75,66.5,69.0,Cents Per Lb
2026-03-02,Distillers Corn Oil,Nebraska,,Truck,62.25,56.0,69.0,Cents Per Lb
2026-03-02,Distillers Corn Oil,Ohio,,Truck,63.5,55.0,69.0,Cents Per Lb
2026-03-02,Distillers Corn Oil,South Dakota,,Truck,63.44,55.0,69.0,Cents Per Lb
2026-03-02,Distillers Corn Oil,Wisconsin,,Truck,66.0,66.0,66.0,Cents Per Lb
2026-03-02,Distillers Grain,Illinois,Dried 10%,Truck,192.5,175.0,210.0,$ Per Ton
2026-03-02,Distillers Grain,Indiana,Modified Wet 55-60%,Truck,90.0,90.0,90.0,$ Per Ton
2026-03-02,Distillers Grain,Indiana,Dried 10%,Truck,171.75,162.0,195.0,$ Per Ton
2026-03-02,Distillers Grain,Indiana,Dried 10%,Rail,157.0,157.0,157.0,$ Per Ton
2026-03-02,Distillers Grain,Iowa,Dried 10%,Rail,137.0,137.0,137.0,$ Per Ton
2026-03-02,Distillers Grain,Iowa,Modified Wet 55-60%,Truck,62.2,50.0,70.0,$ Per Ton
2026-03-02,Distillers Grain,Iowa,Dried 10%,Truck,154.67,140.0,170.0,$ Per Ton
2026-03-02,Distillers Grain,Iowa,Wet 65-70%,Truck,52.5,38.0,67.0,$ Per Ton
2026-03-02,Distillers Grain,Kansas,Wet 65-70%,Truck,51.33,37.0,60.0,$ Per Ton
2026-03-02,Distillers Grain,Kansas,Dried 10%,Truck,167.5,160.0,175.0,$ Per Ton
2026-03-02,Distillers Grain,Michigan,Modified Wet 55-60%,Truck,90.0,90.0,90.0,$ Per Ton
2026-03-02,Distillers Grain,Michigan,Dried 10%,Truck,167.75,160.0,185.0,$ Per Ton
2026-03-02,Distillers Grain,Michigan,Dried 10%,Rail,155.0,155.0,155.0,$ Per Ton
2026-03-02,Distillers Grain,Minnesota,Wet 65-70%,Truck,55.0,55.0,55.0,$ Per Ton
2026-03-02,Distillers Grain,Minnesota,Modified Wet 55-60%,Truck,55.0,55.0,55.0,$ Per Ton
2026-03-02,Distillers Grain,Minnesota,Dried 10%,Truck,161.25,155.0,170.0,$ Per Ton
2026-03-02,Distillers Grain,Missouri,Wet 65-70%,Truck,68.0,68.0,68.0,$ Per Ton
2026-03-02,Distillers Grain,Missouri,Dried 10%,Truck,187.0,175.0,199.0,$ Per Ton
2026-03-02,Distillers Grain,N/A,Dried 10%,Ocean Vessel,223.75,215.0,235.0,$ Per Ton
2026-03-02,Distillers Grain,N/A,Dried 10%,Rail,235.0,235.0,235.0,$ Per Ton
2026-03-02,Distillers Grain,N/A,Dried 10%,Rail/Barge,170.0,170.0,170.0,$ Per Ton
2026-03-02,Distillers Grain,Nebraska,Wet 65-70%,Truck,46.0,35.0,58.0,$ Per Ton
2026-03-02,Distillers Grain,Nebraska,Modified Wet 55-60%,Truck,70.0,60.0,84.0,$ Per Ton
2026-03-02,Distillers Grain,Nebraska,Dried 10%,Truck,168.14,160.0,185.0,$ Per Ton
2026-03-02,Distillers Grain,Ohio,Modified Wet 55-60%,Truck,90.0,90.0,90.0,$ Per Ton
2026-03-02,Distillers Grain,Ohio,Dried 10%,Truck,179.75,169.0,185.0,$ Per Ton
2026-03-02,Distillers Grain,Ohio,Dried 10%,Rail,158.0,158.0,158.0,$ Per Ton
2026-03-02,Distillers Grain,South Dakota,Wet 65-70%,Truck,58.67,54.0,61.0,$ Per Ton
2026-03-02,Distillers Grain,South Dakota,Modified Wet 55-60%,Truck,80.0,80.0,80.0,$ Per Ton
2026-03-02,Distillers Grain,South Dakota,Dried 10%,Truck,165.0,165.0,165.0,$ Per Ton
2026-03-02,Distillers Grain,Wisconsin,Modified Wet 55-60%,Truck,72.0,72.0,72.0,$ Per Ton
2026-03-02,Distillers Grain,Wisconsin,Dried 10%,Truck,148.0,145.0,151.0,$ Per Ton
2026-03-02,Ethanol,Illinois,,Truck,1.72,1.72,1.72,$ Per Gallon
2026-03-02,Ethanol,Illinois,,Rail,1.805,1.79,1.82,$ Per Gallon
2026-03-02,Ethanol,Indiana,,Rail,1.75,1.75,1.75,$ Per Gallon
2026-03-02,Ethanol,Iowa,,Truck,1.6367,1.6,1.7,$ Per Gallon
2026-03-02,Ethanol,Kansas,,Truck,1.66,1.61,1.71,$ Per Gallon
2026-03-02,Ethanol,Nebraska,,Truck,1.61,1.61,1.61,$ Per Gallon
2026-03-09,Distillers Corn Oil,Illinois,,Truck,71.75,69.0,74.5,Cents Per Lb
2026-03-09,Distillers Corn Oil,Indiana,,Truck,67.75,66.5,69.0,Cents Per Lb
2026-03-09,Distillers Corn Oil,Iowa,,Truck,69.0,69.0,69.0,Cents Per Lb
2026-03-09,Distillers Corn Oil,Kansas,,Truck,60.0,60.0,60.0,Cents Per Lb
2026-03-09,Distillers Corn Oil,Michigan,,Truck,67.38,64.0,70.0,Cents Per Lb
2026-03-09,Distillers Corn Oil,Minnesota,,Truck,69.1,66.5,71.0,Cents Per Lb
2026-03-09,Distillers Corn Oil,Missouri,,Truck,67.75,66.5,69.0,Cents Per Lb
2026-03-09,Distillers Corn Oil,Nebraska,,Truck,66.69,57.0,72.0,Cents Per Lb
2026-03-09,Distillers Corn Oil,Ohio,,Truck,68.5,66.5,70.0,Cents Per Lb
2026-03-09,Distillers Corn Oil,South Dakota,,Truck,68.5,65.0,71.0,Cents Per Lb
2026-03-09,Distillers Corn Oil,Wisconsin,,Truck,66.0,66.0,66.0,Cents Per Lb
2026-03-09,Distillers Grain,Illinois,Dried 10%,Truck,199.0,188.0,210.0,$ Per Ton
2026-03-09,Distillers Grain,Indiana,Dried 10%,Rail,165.0,165.0,165.0,$ Per Ton
2026-03-09,Distillers Grain,Indiana,Dried 10%,Truck,175.5,168.0,195.0,$ Per Ton
2026-03-09,Distillers Grain,Indiana,Modified Wet 55-60%,Truck,90.0,90.0,90.0,$ Per Ton
2026-03-09,Distillers Grain,Iowa,Dried 10%,Rail,142.0,142.0,142.0,$ Per Ton
2026-03-09,Distillers Grain,Iowa,Dried 10%,Truck,159.25,140.0,180.0,$ Per Ton
2026-03-09,Distillers Grain,Iowa,Modified Wet 55-60%,Truck,62.33,55.0,68.0,$ Per Ton
2026-03-09,Distillers Grain,Iowa,Wet 65-70%,Truck,54.0,38.0,70.0,$ Per Ton
2026-03-09,Distillers Grain,Kansas,Dried 10%,Truck,175.0,175.0,175.0,$ Per Ton
2026-03-09,Distillers Grain,Kansas,Wet 65-70%,Truck,50.33,35.0,59.0,$ Per Ton
2026-03-09,Distillers Grain,Michigan,Dried 10%,Rail,162.0,162.0,162.0,$ Per Ton
2026-03-09,Distillers Grain,Michigan,Dried 10%,Truck,174.0,168.0,185.0,$ Per Ton
2026-03-09,Distillers Grain,Michigan,Modified Wet 55-60%,Truck,90.0,90.0,90.0,$ Per Ton
2026-03-09,Distillers Grain,Minnesota,Modified Wet 55-60%,Truck,55.0,55.0,55.0,$ Per Ton
2026-03-09,Distillers Grain,Minnesota,Wet 65-70%,Truck,55.0,55.0,55.0,$ Per Ton
2026-03-09,Distillers Grain,Minnesota,Dried 10%,Truck,162.0,155.0,170.0,$ Per Ton
