date,commodity,state,variety,trans_mode,price,price_min,price_max,unit
2025-07-25,Corn,Illinois,,Truck,4.1175,3.9175,4.3375,$ Per Bushel
2025-07-25,Corn,Indiana,,Truck,4.3675,4.2175,4.5375,$ Per Bushel
2025-07-25,Corn,Iowa,,Truck,4.0096,3.7975,4.0875,$ Per Bushel
2025-07-25,Corn,Kansas,,Truck,3.9742,3.7675,4.1375,$ Per Bushel
2025-07-25,Corn,Michigan,,Truck,4.2175,4.0175,4.4175,$ Per Bushel
2025-07-25,Corn,Minnesota,,Truck,3.8589,3.7175,4.0475,$ Per Bushel
2025-07-25,Corn,Missouri,,Truck,3.95,3.7675,4.1675,$ Per Bushel
2025-07-25,Corn,Nebraska,,Truck,4.0642,3.8675,4.3675,$ Per Bushel
2025-07-25,Corn,Ohio,,Truck,4.4758,4.3675,4.6175,$ Per Bushel
2025-07-25,Corn,South Dakota,,Truck,3.7683,3.6675,3.9175,$ Per Bushel
2025-07-25,Corn,Wisconsin,,Truck,3.9115,3.6275,4.1175,$ Per Bushel
2025-07-28,Corn,Illinois,,Truck,4.0893,3.895,4.275,$ Per Bushel
2025-07-28,Corn,Indiana,,Truck,4.3294,4.145,4.515,$ Per Bushel
2025-07-28,Corn,Iowa,,Truck,3.9729,3.775,4.065,$ Per Bushel
2025-07-28,Corn,Kansas,,Truck,3.9517,3.745,4.115,$ Per Bushel
2025-07-28,Corn,Michigan,,Truck,4.195,3.995,4.395,$ Per Bushel
2025-07-28,Corn,Minnesota,,Truck,3.8364,3.695,4.025,$ Per Bushel
2025-07-28,Corn,Missouri,,Truck,3.9125,3.735,4.145,$ Per Bushel
2025-07-28,Corn,Nebraska,,Truck,4.0217,3.845,4.345,$ Per Bushel
2025-07-28,Corn,Ohio,,Truck,4.4367,4.295,4.595,$ Per Bushel
2025-07-28,Corn,South Dakota,,Truck,3.7425,3.645,3.895,$ Per Bushel
2025-07-28,Corn,Wisconsin,,Truck,3.89,3.61,4.095,$ Per Bushel
2025-07-29,Corn,Illinois,,Truck,4.0061,3.8175,4.1375,$ Per Bushel
2025-07-29,Corn,Indiana,,Truck,4.2475,3.9875,4.4375,$ Per Bushel
2025-07-29,Corn,Iowa,,Truck,3.9107,3.7175,4.0075,$ Per Bushel
2025-07-29,Corn,Kansas,,Truck,3.8542,3.6875,3.9875,$ Per Bushel
2025-07-29,Corn,Michigan,,Truck,4.1375,3.9375,4.3375,$ Per Bushel
2025-07-29,Corn,Minnesota,,Truck,3.7789,3.6375,3.9675,$ Per Bushel
2025-07-29,Corn,Missouri,,Truck,3.85,3.6675,4.0875,$ Per Bushel
2025-07-29,Corn,Nebraska,,Truck,3.9597,3.7675,4.2875,$ Per Bushel
2025-07-29,Corn,Ohio,,Truck,4.3708,4.2375,4.5375,$ Per Bushel
2025-07-29,Corn,South Dakota,,Truck,3.6858,3.5875,3.8375,$ Per Bushel
2025-07-29,Corn,Wisconsin,,Truck,3.834,3.56,4.0375,$ Per Bushel
2025-07-30,Corn,Illinois,,Truck,3.9496,3.7425,4.0625,$ Per Bushel
2025-07-30,Corn,Indiana,,Truck,4.1669,3.9425,4.3725,$ Per Bushel
2025-07-30,Corn,Iowa,,Truck,3.8894,3.8325,3.9925,$ Per Bushel
2025-07-30,Corn,Kansas,,Truck,3.8092,3.6425,3.9425,$ Per Bushel
2025-07-30,Corn,Michigan,,Truck,4.0925,3.8925,4.2925,$ Per Bushel
